year,country,purpose,mode,duration,age,visits_thousands,nights_thousands,expenditure_millions,cluster_group
2002,USA,Business,Air,4-7 nights,25-34,0.39,2.69,0.2,smaller spenders
2002,USA,Business,Air,4-7 nights,35-44,4.21,19.75,4.82,medium spenders
2002,USA,Business,Air,4-7 nights,55-64,0.76,2.12,0.25,smaller spenders
2002,USA,Business,Air,8-14 nights,16-24,0.3,0.59,0.01,smaller spenders
2002,USA,Business,Air,8-14 nights,25-34,0.34,3,0.52,smaller spenders
2002,USA,Business,Air,15+ nights,55-64,0.37,1.45,0.06,smaller spenders
2002,USA,Business,Air,15+ nights,65+,0.43,3,0.16,smaller spenders
2002,USA,Business,Tunnel,15+ nights,65+,0.52,10.18,0.17,smaller spenders
2002,USA,VFR,Air,1-3 nights,16-24,0.53,1.59,0.05,smaller spenders
2002,USA,VFR,Air,4-7 nights,16-24,0.3,1.18,0.1,smaller spenders
2002,USA,VFR,Air,4-7 nights,35-44,0.3,1.73,0.13,smaller spenders
2002,USA,VFR,Air,4-7 nights,45-54,1.02,5.44,0.42,smaller spenders
2002,USA,VFR,Air,8-14 nights,16-24,0.68,0.69,0.04,smaller spenders
2002,USA,VFR,Air,8-14 nights,35-44,1.6,13.97,0.64,smaller spenders
2002,USA,VFR,Air,8-14 nights,55-64,1.07,7.38,0.39,smaller spenders
2002,USA,VFR,Air,8-14 nights,65+,0.59,4.72,0.13,smaller spenders
2002,USA,VFR,Air,15+ nights,55-64,0.55,7.57,0.31,smaller spenders
2002,USA,VFR,Air,15+ nights,65+,0.39,1.18,0.04,smaller spenders
2002,USA,Study,Air,4-7 nights,45-54,0.43,2.68,0.32,smaller spenders
2002,USA,Study,Air,15+ nights,16-24,0.4,1.22,0.06,smaller spenders
2002,USA,Other,Air,8-14 nights,45-54,0.57,4.6,0.11,smaller spenders
2003,USA,Holiday,Air,4-7 nights,16-24,0.33,2.3,0.04,smaller spenders
2003,USA,Holiday,Air,4-7 nights,25-34,3.11,12.95,1.18,smaller spenders
2003,USA,Holiday,Air,4-7 nights,35-44,0.64,1.92,0.28,smaller spenders
2003,USA,Holiday,Air,4-7 nights,45-54,2.91,15.61,1.55,smaller spenders
2003,USA,Holiday,Air,4-7 nights,55-64,3.03,19.9,0.79,smaller spenders
2003,USA,Holiday,Air,4-7 nights,65+,0.31,0.94,0.06,smaller spenders
2003,USA,Holiday,Air,8-14 nights,25-34,0.81,7.8,0.06,smaller spenders
2003,USA,Holiday,Air,8-14 nights,35-44,0.63,6.99,0.64,smaller spenders
2003,USA,Holiday,Air,8-14 nights,45-54,0.53,5,0.19,smaller spenders
2003,USA,Holiday,Air,8-14 nights,55-64,2.18,11.64,0.72,smaller spenders
2003,USA,Holiday,Air,8-14 nights,65+,0.74,7.04,0.09,smaller spenders
2003,USA,Holiday,Air,15+ nights,16-24,0.89,4.83,0.1,smaller spenders
2003,USA,Holiday,Air,15+ nights,25-34,0.24,3.31,0.15,smaller spenders
2003,USA,Holiday,Air,15+ nights,55-64,0.22,2.22,0.14,smaller spenders
2003,USA,Holiday,Air,15+ nights,65+,0.22,0.22,0.01,smaller spenders
2003,USA,Holiday,Sea,4-7 nights,16-24,1.79,5.37,0.41,smaller spenders
2003,USA,Holiday,Sea,4-7 nights,25-34,1.79,5.37,0.51,smaller spenders
2003,USA,Holiday,Tunnel,4-7 nights,45-54,0.59,2.24,0.21,smaller spenders
2003,USA,Business,Air,1-3 nights,35-44,0.31,0.62,0.22,smaller spenders
2003,USA,Business,Air,4-7 nights,25-34,0.69,3.81,0.2,smaller spenders
2003,USA,Business,Air,4-7 nights,35-44,0.23,0.68,0.03,smaller spenders
2003,USA,Business,Air,4-7 nights,55-64,0.45,2.2,0.11,smaller spenders
2003,USA,Business,Air,8-14 nights,25-34,0.87,2.16,0.18,smaller spenders
2003,USA,Business,Air,8-14 nights,35-44,0.98,3.62,0.25,smaller spenders
2003,USA,Business,Air,8-14 nights,45-54,0.24,0.24,0.02,smaller spenders
2003,USA,Business,Air,15+ nights,25-34,0.47,0.46,0.06,smaller spenders
2003,USA,Business,Air,15+ nights,35-44,0.3,0.9,0.12,smaller spenders
2003,USA,Business,Tunnel,15+ nights,55-64,0.48,5.23,0.14,smaller spenders
2003,USA,VFR,Air,1-3 nights,45-54,0.29,0.29,0.01,smaller spenders
2003,USA,VFR,Air,4-7 nights,0-15,1.51,10.02,0.46,smaller spenders
2003,USA,VFR,Air,4-7 nights,16-24,1.62,4.08,0.08,smaller spenders
2003,USA,VFR,Air,4-7 nights,25-34,0.63,2.87,0.18,smaller spenders
2003,USA,VFR,Air,4-7 nights,45-54,1.16,8.26,0.61,smaller spenders
2003,USA,VFR,Air,4-7 nights,55-64,0.33,1.32,0.11,smaller spenders
2003,USA,VFR,Air,8-14 nights,0-15,0.31,3.14,0.08,smaller spenders
2003,USA,VFR,Air,8-14 nights,25-34,2.35,14.19,0.29,smaller spenders
2003,USA,VFR,Air,8-14 nights,35-44,2.24,17.77,0.42,smaller spenders
2003,USA,VFR,Air,8-14 nights,45-54,2.56,22.2,0.84,smaller spenders
2003,USA,VFR,Air,8-14 nights,55-64,2.57,18.91,1.57,smaller spenders
2003,USA,VFR,Air,8-14 nights,65+,0.62,6.88,0.15,smaller spenders
2003,USA,VFR,Air,15+ nights,16-24,0.33,6.27,0.11,smaller spenders
2003,USA,VFR,Air,15+ nights,25-34,0.29,5.31,0.12,smaller spenders
2003,USA,VFR,Air,15+ nights,35-44,1.43,19.02,0.24,smaller spenders
